config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048,3,5.509047150611877,0.0014902583864962648,246.91592423532757,0.36802057225077495,7.94787500421123,0.0021499883838415677
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,204800,3,2.335372656583786,0.01161984266452996,10.333776079040932,0.12046742817279854,3.3692305502811126,0.016763889388027496
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,409600,3,2.012196734547615,0.015236535941127737,7.480309357971543,0.11404156241315185,2.90298625022481,0.021981674842591576
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,614400,3,1.8447552522023518,0.011748193309431273,6.326841819104854,0.07415922288654088,2.661419254006202,0.016949060226921296
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,819200,3,1.7595050831635792,0.027089181729425774,5.81097888935419,0.15678525957959616,2.538429257899019,0.03908142814278245
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1024000,3,1.6955763896306355,0.013798656893453682,5.450131244568294,0.07490653150431505,2.446199648768531,0.019907253871113896
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1228800,3,1.6389957666397095,0.03219261961283105,5.151781796369926,0.1668635552861123,2.364571064569114,0.04644413266865604
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1433600,3,1.5965069780747096,0.038693076663208426,4.9382410405677595,0.1928888948017692,2.3032727000130087,0.05582230981874738
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1638400,3,1.5798139969507854,0.03704594984850067,4.8562662803003125,0.17897282250744498,2.27918981892787,0.05344600813145318
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,1843200,3,1.5510776887337367,0.026409054311431895,4.717644103134778,0.12408615306404625,2.2377320895696773,0.03810021168967006
medium,deepseekv4_attnmhc,tiny_shakespeare,validation,2048000,3,1.5075156738360722,0.024632629920353668,4.516412281475489,0.1112563122211834,2.1748853867056854,0.035537373030147465
medium,deepseekv4_attnmhc,wikitext2,validation,2048,3,5.508310000101726,0.0017314458457511881,246.73404105505676,0.42736269823776624,7.946811520825844,0.0024979483352331783
medium,deepseekv4_attnmhc,wikitext2,validation,204800,3,2.410081684589386,0.0058053769302799435,11.134995872145529,0.0647401015363349,3.477012894494426,0.008375388507805994
medium,deepseekv4_attnmhc,wikitext2,validation,409600,3,2.0571413139502206,0.006391268656525385,7.823679121585044,0.04994684576995973,2.9678275720437894,0.00922065159575825
medium,deepseekv4_attnmhc,wikitext2,validation,614400,3,1.9402469744284947,0.040283415381168704,6.9642125394541035,0.27792440009165736,2.7991846881078053,0.05811668360048212
medium,deepseekv4_attnmhc,wikitext2,validation,819200,3,1.8504643340905507,0.009845035325429899,6.362979062757169,0.06273514566373915,2.669655718134335,0.014203383641374426
medium,deepseekv4_attnmhc,wikitext2,validation,1024000,3,1.7765929053227107,0.030862145208091135,5.9115746923230565,0.1840271096791546,2.5630817741875904,0.04452466384290819
medium,deepseekv4_attnmhc,wikitext2,validation,1228800,3,1.7362485726674397,0.019954118727264727,5.676762236388934,0.11294976431407523,2.5048772055378565,0.028787708133134433
medium,deepseekv4_attnmhc,wikitext2,validation,1433600,3,1.7102245440085728,0.022226471765739837,5.531116446963739,0.12346039613482497,2.4673324684477573,0.03206602059289139
medium,deepseekv4_attnmhc,wikitext2,validation,1638400,3,1.694845587015152,0.03732505960689972,5.448316196923195,0.20113562359483494,2.445145323459304,0.053848678395759145
