config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4_attnmhc_2h,wikitext2,validation,614400,3,2.1600059270858765,0.04095528283117838,8.67599968625503,0.35103175251995816,3.116229839297562,0.05908598343874587
medium,deepseekv4_attnmhc_2h,wikitext2,validation,819200,3,2.0210414280494056,0.006789305860639614,7.5462957244646605,0.05132106198516607,2.915746445678026,0.009794897896223165
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1024000,3,1.901128739118576,0.013249551892465215,6.693837159833955,0.08873628018468305,2.7427490040178575,0.01911506280926058
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1228800,3,1.8203817456960678,0.018781309425673152,6.174943144589899,0.11649047073242924,2.626255717040511,0.027095701969819783
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1433600,3,1.7628035147984822,0.03650739556406512,5.831334992591497,0.21157718563791136,2.543187888861405,0.05266903853604846
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1638400,3,1.725454603632291,0.0431159591137313,5.618532128591947,0.23999753048139796,2.4893047999393385,0.062203180396551434
medium,deepseekv4_attnmhc_2h,wikitext2,validation,1843200,3,1.6985252698262532,0.012919912086141036,5.4661841325924,0.07036062296000839,2.4504539836029244,0.018639493095396913
medium,deepseekv4_attnmhc_2h,wikitext2,validation,2048000,3,1.6594708512226741,0.04600108194297349,5.260210678766039,0.23931832300975578,2.3941103675587385,0.0663655327946547
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048,3,5.5078118443489075,0.0005673150551287982,246.61093964338576,0.13992677783835614,7.946092833991663,0.0008184626166559318
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,204800,3,2.3810409605503082,0.01021283237078465,10.816532198521465,0.11044345410133288,3.435115985939424,0.01473400261476124
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,409600,3,2.0459562093019485,0.020044274067739787,7.737588076798623,0.1548987164025007,2.951690877035903,0.028917774795747565
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,614400,3,1.8837747126817703,0.016621628011470282,6.578895258111206,0.10940859817391242,2.7177124361380223,0.023979940303649153
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,819200,3,1.793994610508283,0.027240212221312274,6.01492087378643,0.16507588680460036,2.5881871279618274,0.03929931908445021
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1024000,3,1.7285194446643193,0.010837453707885084,5.632528849303751,0.060855940119448976,2.493726430897359,0.015635140720229614
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1228800,3,1.668539399902026,0.046808805757706816,5.3082710288568835,0.24664192069429808,2.4071935177665,0.06753083193657829
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1433600,3,1.6188804358243942,0.03597854487441022,5.0496245772566555,0.1829228032876107,2.3355507765560173,0.05190606826871277
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1638400,3,1.598116139570872,0.02124555839877794,4.944454842037197,0.10517038551692943,2.3055942293235114,0.03065086174283383
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,1843200,3,1.567330613732338,0.028628774848312322,4.795144496450578,0.1372992394761784,2.2611801038650996,0.041302591500386975
medium,deepseekv4_attnmhc_dnd,tiny_shakespeare,validation,2048000,3,1.5220936089754105,0.03561380011355845,4.583732129353751,0.1615867734339941,2.19591690143761,0.05137985281104142
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,2048,3,5.507403532663981,0.0021568845612350896,246.51062193720108,0.531796004270117,7.9455037647486835,0.003111726660263492
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,204800,3,2.4483730296293893,0.003447200563521738,11.569553981661924,0.039885825761185066,3.532255628092607,0.004973259157942417
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,409600,3,2.0971113244692483,0.014470331290370621,8.143183736842332,0.1180994145606907,3.0254921080038706,0.020876275192638127
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,614400,3,1.9746754119793575,0.029559396132312465,7.206376021380881,0.21249788678272236,2.8488544242279894,0.042645194211759566
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,819200,3,1.8838866899410884,0.02702055744804013,6.5806295943489,0.17821030009407077,2.7178739851747324,0.038982424232342744
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,1024000,3,1.7999108632405598,0.036856885904230634,6.051866510917274,0.2253055511592612,2.596722476439329,0.05317324651664405
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,1228800,3,1.7545804580052693,0.019206382894547267,5.7817300955806745,0.11042494216522786,2.5313245256048886,0.027708953355377892
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,1433600,3,1.7174815237522125,0.021233556561766714,5.571317713094472,0.1180477563228128,2.4778020771357374,0.0306335467520962
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,1638400,3,1.6941972821950912,0.026319514576508014,5.443525997056302,0.14217277856201116,2.444210017310418,0.037971033158133
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,1843200,3,1.6755057523647945,0.019951833616667188,5.342206240575352,0.1069200737115568,2.417243839917621,0.028784411415407458
medium,deepseekv4_attnmhc_dnd,wikitext2,validation,2048000,3,1.6422630101442337,0.032939661371373524,5.168708036848533,0.16889281898512823,2.3692847005704674,0.047521886109042344
